"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.284330875E0;1.134155184E-2;4.941131115E-2;6.543619037E-3;5.111680172E-2
2.294340875E0;-2.346721530E-2;1.209607655E-1;5.627301872E-2;1.354579995E-1
2.304350875E0;-4.471248865E-2;1.423528039E-1;8.683115244E-4;1.492122026E-1
2.314390875E0;-5.269335330E-2;1.638939464E-1;1.017707884E-2;1.724569166E-1
2.324400875E0;-6.007780194E-2;1.590887046E-1;-9.187145233E-3;1.703025597E-1
2.334409875E0;-3.039353460E-2;1.354261923E-1;-9.469565749E-2;1.680216892E-1
2.344450875E0;-1.209204197E-2;1.330241561E-1;-4.910784066E-2;1.423138208E-1
2.354459875E0;1.984544992E-3;7.328900099E-2;-2.232759297E-2;7.664031245E-2
2.364469875E0;9.100606441E-3;2.313567817E-2;-1.747674286E-2;3.038942552E-2
2.374479875E0;3.748620719E-2;-5.455452204E-3;2.078158915E-2;4.320708432E-2
2.384519875E0;3.569783628E-2;-1.023964405E-2;-1.054779232E-2;3.860623976E-2
2.394529875E0;3.378258079E-2;-4.616025925E-2;-1.541969240E-2;5.924355840E-2
2.404539875E0;1.588425368E-2;-1.756386638E-2;6.061925411E-2;6.508066446E-2
2.414579875E0;-1.466890991E-2;6.091044545E-3;2.686093926E-2;3.120557322E-2
2.424589875E0;-4.017651111E-2;2.046467006E-2;-3.303092122E-2;5.589272334E-2
2.434599875E0;-4.778403103E-2;6.342474818E-2;-2.351399302E-2;8.281859798E-2
2.444639875E0;-5.226650655E-2;6.822063446E-2;-2.834437788E-2;9.049445525E-2
2.454649875E0;-2.878642738E-2;9.935647309E-2;-1.866899014E-2;1.051137400E-1
2.464658875E0;-2.379407465E-2;9.471904635E-2;-2.348709583E-2;1.004465002E-1
2.474668875E0;4.908445179E-3;1.188183457E-1;-4.226250529E-2;1.262062259E-1
2.484708875E0;4.747208208E-2;9.502134740E-2;8.184347749E-3;1.065346826E-1
